     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -                      
22.9 |       48     5362 |   94    63   23     8
23.0 |       52     5349 |  108    63    3     8
23.1 |       56     5347 |   97    63    3     8
23.3 |       55     5328 |  223    63  140     8
23.4 |       56     5323 |   85    63   32     8
23.5 |       58     5317 |   95    63    5     8
23.6 |       61     5309 |   97    67    7    10
23.8 |       57     5290 |   89    67   18    10
23.9 |       64     5280 |  119    67   21    10
24.0 |       64     5254 |  102    67    2    10
24.1 |       63     5247 |  107    67    6    10
24.2 |       62     5244 |  100    67    1    10
24.3 |       62     5238 |  104    67    4    10
24.4 |       58     5226 |   81    67    8    10
24.5 |       54     5201 |  143    67   14    10
24.7 |       42     5195 |  132    67   14    10
24.8 |       44     5189 |  100    67    8    10
24.9 |       45     5163 |   75    67    9    10
25.1 |       46     5151 |   98    67   17    10
25.2 |       50     5132 |   83    67    8    10
25.3 |       47     5124 |  115    67   13    10
25.4 |       59     5110 |  208    67   56    10
25.6 |       70     5084 |  104    71   84    10
26.0 |       81     5067 |  404    71  187    10
26.1 |       89     5059 |  109    71   60    10
26.2 |       95     5049 |  100    71    8    10
26.4 |      101     5037 |  133    71   52    10
26.5 |      108     5029 |  100    71   37    10
26.6 |      108     5026 |  105    71   36    10
26.7 |      109     5017 |  101    71    1    10
26.8 |      112     5008 |  102    71   12    10
26.9 |       76     5005 |   89    71    4    10
27.0 |       51     4999 |  131    71    9    10
27.1 |       72     4993 |  106    71    5    10
27.3 |       54     4953 |  137    71    7    10
27.5 |       59     4940 |  268    71   13    10
27.7 |       64     4921 |  137    76    9    12
27.8 |       62     4909 |   93    76   16    12
27.9 |       61     4896 |   93    76    9    12
28.0 |       64     4887 |  100    76   14    12
28.1 |       63     4869 |  122    76    3    12
28.3 |       65     4858 |  103    76    4    12
28.4 |       65     4825 |  107    76   12    12
28.5 |       65     4816 |  105    76    9    12
28.6 |       74     4800 |  101    76    5    12
28.7 |       73     4786 |   96    76    8    12
28.9 |       74     4769 |  145    76    0    12
29.0 |       79     4742 |  142    76    8    12
29.1 |       89     4731 |  121    76   16    12
29.3 |       98     4723 |  119    76    3    12
29.4 |      100     4688 |  104    76    4    12
29.5 |      107     4677 |   80    76    8    12
29.6 |      126     4655 |   80    78   12    11
29.9 |      124     4646 |  187    78   19    11
30.0 |      126     4635 |  103    78    4    11
30.1 |      130     4627 |  106    78    5    11
30.2 |      129     4614 |  103    78    6    11
30.3 |      129     4580 |   99    78    5    11
30.5 |      132     4571 |  187    78   15    11
30.6 |      130     4558 |  120    78    7    11
30.7 |      131     4547 |   95    78    7    11
30.8 |      128     4537 |   99    78    8    11
30.9 |      127     4526 |   80    78    6    11
31.1 |      126     4497 |  133    78    5    11
31.3 |      140     4427 |  193    78    7    11
31.4 |      126     4427 |  156    78    0    11
31.5 |      133     4424 |  100    78    6    11
31.6 |      125     4400 |  106    81    0    10
31.9 |      125     4392 |  234    81   10    10
32.0 |      136     4382 |  100    81    1    10
32.1 |      129     4339 |  133    81    8    10
32.2 |      141     4339 |  146    81    4    10
32.3 |      141     4329 |   99    81   13    10
32.4 |      140     4320 |  102    81    9    10
32.6 |      144     4301 |  134    81   11    10
32.7 |      140     4291 |  118    81    3    10
32.8 |      140     4271 |   88    81    7    10
32.9 |      139     4267 |   59    81    2    10
33.0 |      138     4249 |   74    81    8    10
33.1 |      141     4243 |   88    81    4    10
33.2 |      142     4227 |   78    81    8    10
33.3 |      141     4216 |  100    81    2    10
33.5 |      148     4186 |  181    81    1    10
33.6 |      160     4187 |   93    83   32     9
33.7 |      156     4190 |   68    83   16     9
33.8 |      144     4193 |   78    83    7     9
33.9 |      135     4198 |   83    83    5     9
34.0 |      118     4202 |   58    83    6     9
34.1 |      109     4208 |   71    83   19     9
34.2 |      105     4213 |   77    83   13     9
34.3 |       98     4217 |   55    83   13     9
34.4 |       93     4222 |   61    83   35     9
34.5 |       88     4226 |   83    83   61     9
34.6 |       84     4231 |   98    83   58     9
34.7 |       95     4233 |   61    83   12     9
34.8 |      106     4236 |   44    83   18     9
34.9 |      101     4239 |   40    83   14     9
35.0 |       97     4244 |   60    83   19     9
35.1 |       99     4248 |   44    83   14     9
35.2 |       99     4242 |   74    83   30     9
35.3 |       84     4144 |   87    83    3     9
35.4 |       89     4142 |   92    83   56     9
35.6 |      104     4142 |  154    80   32    11
35.7 |      113     4138 |  145    80   16    11
35.9 |      127     4138 |  175    80   14    11
36.0 |      142     4138 |  100    80    1    11
36.1 |      185     4108 |  122    80   19    11
36.2 |      188     4108 |   99    80    6    11
36.3 |      207     4109 |   82    80   45    11
36.4 |      199     4116 |   59    80   24    11
36.5 |      192     4124 |   49    80   20    11
36.6 |      195     4128 |   80    80   38    11
36.7 |      188     4131 |   64    80   20    11
36.8 |      179     4139 |   48    80   19    11
36.9 |      175     4141 |   15    80    7    11
37.0 |      171     4142 |   39    80   11    11
37.2 |      200     4054 |  129    80   29    11
37.3 |      201     4048 |   55    80    4    11
37.5 |      201     4048 |   55    80    2    11
37.6 |      203     4048 |   53    80    2    11
37.7 |      200     4048 |   59    78    0    12
37.8 |      213     3955 |  161    78   31    12
37.9 |      208     3955 |  113    78    0    12
38.0 |      218     3955 |  105    78    6    12
38.2 |      214     3947 |  100    78    0    12
38.3 |      229     3947 |   98    78    1    12
38.4 |      231     3907 |   65    78   20    12
38.5 |      223     3907 |  100    78    0    12
38.6 |      240     3846 |  100    78   24    12
38.7 |      245     3816 |  100    78   10    12
38.8 |      245     3816 |  100    78    0    12
38.9 |      255     3816 |  100    78    0    12
39.0 |      254     3816 |  100    78    3    12
39.1 |      255     3816 |  101    78   55    12
39.2 |      277     3817 |   94    78   73    12
39.3 |      295     3817 |   84    78   63    12
39.4 |      310     3817 |   18    78   14    12
39.5 |      325     3817 |    0    78    0    12
39.6 |      332     3817 |    0    78    0    12
39.7 |      351     3817 |   28    79   18    12
