     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -
[...]
63.5 |       76     2299 |  104    99   58    70
63.6 |       76     2295 |  107    99   86    71
63.8 |       76     2288 |  249    99  216    71
63.9 |       76     2272 |  103    99   57    71
64.0 |       76     2267 |  107    99   78    71
64.1 |       76     2259 |  176    99  146    71
64.3 |       76     2258 |  100    99   34    71
64.4 |       76     2251 |  130    99   83    71
64.6 |       76     2237 |  100    99   67    71
64.7 |       75     2228 |  100    99   78    71
64.8 |       75     2219 |  100    99   81    71
64.9 |       76     2209 |  100    99   78    71
65.0 |       76     2195 |  100    99   71    71
65.1 |       76     2188 |  100    99   85    71
65.2 |       76     2172 |  100    99   72    71
65.3 |       76     2167 |  100    99   75    71
65.4 |       76     2162 |  100    99   72    71
65.5 |       76     2156 |  100    99   80    71
65.6 |       78     2149 |  119    99   98    71
65.7 |       76     2134 |  108    99   70    71
65.8 |       76     2128 |  101    99   82    71
65.9 |       76     2120 |  101    99   80    71
66.0 |       79     2112 |  114    99   90    71
66.1 |       76     2097 |  100    99   78    71
66.2 |       79     2093 |  119    99  102    71
66.4 |       79     2069 |  133    99   92    71
66.5 |       78     2029 |  100    99   50    71
66.6 |       76     2019 |  100    99   75    71
66.7 |       77     2014 |  109    99   92    71
66.8 |       76     1989 |  100    99   63    71
66.9 |       78     1983 |  100    99   77    71
67.0 |       77     1957 |  146    99   87    71
67.1 |       76     1949 |  100    99   70    71
67.2 |       76     1943 |  100    99   83    71
67.3 |       79     1939 |  101    99   85    71
67.4 |       76     1918 |  100    99   58    71
67.5 |       76     1908 |  100    99   76    71
67.6 |       78     1891 |  114    99   84    71
67.7 |       77     1886 |  100    99   85    71
67.8 |       78     1855 |  101    99   45    71
67.9 |       76     1832 |  100    99   57    71
68.0 |       76     1816 |  100    99   67    71
68.1 |       76     1811 |  100    99   81    71
68.2 |       76     1805 |  100    99   84    71
68.3 |       76     1799 |  100    99   83    71
68.4 |       76     1776 |  100    99   62    71
68.5 |       76     1751 |  100    99   61    71
68.6 |       77     1736 |  100    99   72    71
68.7 |       78     1723 |  129    99   92    71
68.9 |       76     1714 |  100    99   86    71
69.0 |       77     1706 |  100    99   80    71
69.1 |       77     1698 |  100    99   80    71
69.2 |       79     1685 |  100    99   64    71
69.3 |       81     1674 |  100    99   75    71
69.4 |       81     1660 |  100    99   71    71
69.5 |       81     1647 |  100    99   72    71
69.6 |       81     1635 |  101    99   74    71
69.7 |       81     1622 |  109    99   78    71
69.8 |       81     1609 |  100    99   71    71
69.9 |       80     1598 |  100    99   77    71
70.0 |       80     1589 |  100    99   81    71
70.1 |       80     1580 |  100    99   78    71
70.2 |       80     1568 |  100    99   73    71
70.3 |       84     1553 |  149    99  110    71
70.4 |       81     1542 |  101    99   84    71
70.5 |       81     1532 |  100    99   79    71
70.6 |       81     1524 |  100    99   80    71
70.7 |       81     1510 |  100    99   70    71
70.8 |       81     1482 |  265    99  190    71
71.1 |       81     1478 |  100    99   70    71
71.2 |       83     1474 |  110    99   85    71
71.3 |       81     1462 |  100    99   63    71
71.4 |       81     1460 |  100    99   82    71
71.5 |       83     1452 |  104    99   78    71
71.6 |       82     1439 |  100    99   63    72
71.7 |       84     1418 |  101    99   60    72
71.8 |       83     1397 |  104    99   65    72
71.9 |       84     1375 |  112    99   73    72
72.0 |       83     1365 |  100    99   76    72
